FROM_BRANCH,LORRY_ROUTE_FROM,FROM_LAT,FROM_LONG,TO_BRANCH,LORRY_ROUTE_TO,TO_LAT,TO_LONG,COUNT(*)
DADRI-UTTAR PRADESH,1352,28.5432697,77.5631391,DADRI-UTTAR PRADESH,2202,27.217,77.9455,3
MUMBAI HUB-MAHARASTRA,2117,19.2924351,73.1082178,MUMBAI HUB-MAHARASTRA,505,12.725908,77.794993,17
BINOLA HUB-HARYANA,1328,28.3106646,76.8781538,BINOLA HUB-HARYANA,3001,11.6017,78.0921,218
GGN HERO HONDA-HARYANA,1327,28.3962,76.993,GGN HERO HONDA-HARYANA,1904,30.3699,76.4745,2
AHMEDABAD-GUJARAT,301,22.8584141,72.3796371,AHMEDABAD-GUJARAT,504,13.2431695,77.2304165,17
AHMEDABAD-GUJARAT,301,22.8584141,72.3796371,AHMEDABAD-GUJARAT,511,13.2444,77.229,35
BAGHOLA-HUB HARYANA,1338,28.201997,77.320682,BAGHOLA-HUB HARYANA,2202,27.217,77.9455,8
AURANGABAD WALUJ-MAHARASTRA,201,19.8087351,75.2382142,AURANGABAD WALUJ-MAHARASTRA,2803,18.803941,74.311907,6
BADDI-HIMACHAL PRADESH,1103,30.9570241,76.8249571,BADDI-HIMACHAL PRADESH,1905,32.640433,74.901404,14
KHUSKERA-RAJASTHAN,1712,28.11664,76.78661,KHUSKERA-RAJASTHAN,3503,26.3392,78.2826,1
BAGHOLA-HUB HARYANA,1338,28.201997,77.320682,BAGHOLA-HUB HARYANA,3402,23.3068613,85.3985532,10
NASIK-MAHARASTRA,2401,20.0052,73.7379,NASIK-MAHARASTRA,201,19.8087351,75.2382142,11
JODHPUR-RAJASTHAN,1709,26.2292,73.0069,JODHPUR-RAJASTHAN,601,22.3532,73.2346,17
AHMEDABAD-GUJARAT,301,22.8584141,72.3796371,AHMEDABAD-GUJARAT,317,23.2898,72.4389,8
PARWANOO-H P,102,30.839,76.95605,PARWANOO-H P,1901,30.8772,75.9122,1
NELMANGLA-KARNATAKA,504,13.2431695,77.2304165,NELMANGLA-KARNATAKA,2401,20.0052,73.7379,1
BIDADI KARNATAKA,529,12.8138869,77.4106902,BIDADI KARNATAKA,2806,18.6817064,74.1130227,1
REWA-MADHYA PRADESH,3507,24.5203,81.2427,REWA-MADHYA PRADESH,2501,21.133502,78.8936551,23
AIRPORT - PUNE - MAHARASTRA,2805,18.5743585,73.8907094,AIRPORT - PUNE - MAHARASTRA,201,19.8087351,75.2382142,3
MAKKARPURA BARODA-GUJARAT,602,22.2472,73.1793,MAKKARPURA BARODA-GUJARAT,601,22.3532,73.2346,12
BINOLA HUB-HARYANA,1328,28.3106646,76.8781538,BINOLA HUB-HARYANA,2502,21.2570484,81.5552005,17
GGN HERO HONDA-HARYANA,1327,28.3962,76.993,GGN HERO HONDA-HARYANA,4107,20.5333,85.9527,3
BINOLA HUB-HARYANA,1328,28.3106646,76.8781538,BINOLA HUB-HARYANA,2205,29.9652,78.076,8
MADURAI-TAMILNADU,2001,9.9880077,78.0989829,MADURAI-TAMILNADU,2001,9.9880077,78.0989829,34
LUDHIANA HUB,1920,30.8864,75.9923,LUDHIANA HUB,3405,22.824269,86.268545,2
CHAKAN - PUNE - MAHARASTRA,2802,18.7004018,73.8489416,CHAKAN - PUNE - MAHARASTRA,1102,31.355688,75.565583,1
DAMAN-GUJARAT,1201,20.402885,72.8870348,DAMAN-GUJARAT,1327,28.3962,76.993,3
PEENYA-KARNATAKA,508,13.0336,77.5302,PEENYA-KARNATAKA,2601,22.6272376,75.581131,1
NEW DELHI STATION - DELHI,1365,28.3962,76.993,NEW DELHI STATION - DELHI,1319,28.4875,77.063,1
MUMBAI HUB-MAHARASTRA,2117,19.2924351,73.1082178,MUMBAI HUB-MAHARASTRA,1301,28.5283,77.2786,4
GGN HERO HONDA-HARYANA,1327,28.3962,76.993,GGN HERO HONDA-HARYANA,1501,15.3635,73.9486,1
KAPASHERA-DELHI,1305,28.5182141,77.0820394,KAPASHERA-DELHI,1338,28.201997,77.320682,4
RASYANI-RAIGAD,2125,18.9542,73.1682,RASYANI-RAIGAD,2125,18.9542,73.1682,11
KHUSKERA-RAJASTHAN,1712,28.11664,76.78661,KHUSKERA-RAJASTHAN,1102,31.355688,75.565583,4
KALA AMB-HIMACHAL PRADESH,1106,30.5043925,77.2083046,KALA AMB-HIMACHAL PRADESH,1601,17.6103329,78.5213145,1
KASHIPUR-UTTRAKHAND,3302,29.2104,79.0084,KASHIPUR-UTTRAKHAND,1602,26.4478,80.2487,1
RANCHI-JHARKHAND,3402,23.3068613,85.3985532,RANCHI-JHARKHAND,4002,25.5784288,85.2193768,2
VASAI MUMBAI-MAHARASTRA,2104,19.4030055,72.8478575,VASAI MUMBAI-MAHARASTRA,1001,12.8975285,79.883473,1
BHARTI AIRTEL LTD-PATNA,6008,25.53677,85.265208,BHARTI AIRTEL LTD-PATNA,6008,25.53677,85.265208,8
SILVASSA-GUJARAT,1203,20.2951,72.9909,SILVASSA-GUJARAT,2901,28.8988,76.5487,2
SHOLAVARAM CHENNAI,1003,13.2316,80.1633,SHOLAVARAM CHENNAI,201,19.8087351,75.2382142,1
